source_table, hadron, target, ref_target, Q2_min, Q2_max, nu_min, nu_max, z_min, z_max, pT2_min, pT2_max, value, stat , syst , flag
I           , pi0   , Pb    , D         ,   1.0 ,   4.1 ,   3.73,   4.25,   0.3,   0.4,    0.55,    0.75, 0.755, 0.038, 0.042, 
I           , pi0   , C     , D         ,   1.0 ,   4.1 ,   3.73,   4.25,   0.3,   0.4,    0.75,    1.5 , 1.411, 0.185, 0.1  , 
I           , pi0   , Fe    , D         ,   1.0 ,   4.1 ,   3.73,   4.25,   0.3,   0.4,    0.75,    1.5 , 1.566, 0.151, 0.077, 
I           , pi0   , Pb    , D         ,   1.0 ,   4.1 ,   3.73,   4.25,   0.3,   0.4,    0.75,    1.5 , 0.82 , 0.123, 0.181, 
I           , pi0   , C     , D         ,   1.0 ,   4.1 ,   2.2 ,   3.2 ,   0.4,   0.5,    0.0 ,    0.1 , 0.833, 0.021, 0.048, 
I           , pi0   , Fe    , D         ,   1.0 ,   4.1 ,   2.2 ,   3.2 ,   0.4,   0.5,    0.0 ,    0.1 , 0.627, 0.014, 0.038, 
I           , pi0   , Pb    , D         ,   1.0 ,   4.1 ,   2.2 ,   3.2 ,   0.4,   0.5,    0.0 ,    0.1 , 0.447, 0.015, 0.03 , 
I           , pi0   , C     , D         ,   1.0 ,   4.1 ,   2.2 ,   3.2 ,   0.4,   0.5,    0.1 ,    0.25, 0.843, 0.017, 0.048, 
I           , pi0   , Fe    , D         ,   1.0 ,   4.1 ,   2.2 ,   3.2 ,   0.4,   0.5,    0.1 ,    0.25, 0.617, 0.011, 0.036, 
I           , pi0   , Pb    , D         ,   1.0 ,   4.1 ,   2.2 ,   3.2 ,   0.4,   0.5,    0.1 ,    0.25, 0.461, 0.012, 0.032, 
I           , pi0   , C     , D         ,   1.0 ,   4.1 ,   2.2 ,   3.2 ,   0.4,   0.5,    0.25,    0.4 , 0.871, 0.023, 0.049, 
I           , pi0   , Fe    , D         ,   1.0 ,   4.1 ,   2.2 ,   3.2 ,   0.4,   0.5,    0.25,    0.4 , 0.616, 0.014, 0.036, 
I           , pi0   , Pb    , D         ,   1.0 ,   4.1 ,   2.2 ,   3.2 ,   0.4,   0.5,    0.25,    0.4 , 0.454, 0.015, 0.033, 
I           , pi0   , C     , D         ,   1.0 ,   4.1 ,   2.2 ,   3.2 ,   0.4,   0.5,    0.4 ,    0.55, 0.91 , 0.038, 0.054, 
I           , pi0   , Fe    , D         ,   1.0 ,   4.1 ,   2.2 ,   3.2 ,   0.4,   0.5,    0.4 ,    0.55, 0.742, 0.025, 0.041, 
I           , pi0   , Pb    , D         ,   1.0 ,   4.1 ,   2.2 ,   3.2 ,   0.4,   0.5,    0.4 ,    0.55, 0.514, 0.028, 0.033, 
I           , pi0   , C     , D         ,   1.0 ,   4.1 ,   2.2 ,   3.2 ,   0.4,   0.5,    0.55,    0.75, 1.089, 0.088, 0.064, 
I           , pi0   , Fe    , D         ,   1.0 ,   4.1 ,   2.2 ,   3.2 ,   0.4,   0.5,    0.55,    0.75, 0.93 , 0.055, 0.057, 
I           , pi0   , Pb    , D         ,   1.0 ,   4.1 ,   2.2 ,   3.2 ,   0.4,   0.5,    0.55,    0.75, 0.6  , 0.062, 0.037, 
I           , pi0   , C     , D         ,   1.0 ,   4.1 ,   2.2 ,   3.2 ,   0.4,   0.5,    0.75,    1.5 , 2.024, 0.416, 0.196, 
I           , pi0   , Fe    , D         ,   1.0 ,   4.1 ,   2.2 ,   3.2 ,   0.4,   0.5,    0.75,    1.5 , 1.805, 0.242, 0.092, 
I           , pi0   , C     , D         ,   1.0 ,   4.1 ,   3.2 ,   3.73,   0.4,   0.5,    0.0 ,    0.1 , 0.823, 0.026, 0.048, 
I           , pi0   , Fe    , D         ,   1.0 ,   4.1 ,   3.2 ,   3.73,   0.4,   0.5,    0.0 ,    0.1 , 0.623, 0.017, 0.036, 
I           , pi0   , Pb    , D         ,   1.0 ,   4.1 ,   3.2 ,   3.73,   0.4,   0.5,    0.0 ,    0.1 , 0.494, 0.02 , 0.037, 
I           , pi0   , C     , D         ,   1.0 ,   4.1 ,   3.2 ,   3.73,   0.4,   0.5,    0.1 ,    0.25, 0.876, 0.019, 0.049, 
I           , pi0   , Fe    , D         ,   1.0 ,   4.1 ,   3.2 ,   3.73,   0.4,   0.5,    0.1 ,    0.25, 0.608, 0.011, 0.034, 
I           , pi0   , Pb    , D         ,   1.0 ,   4.1 ,   3.2 ,   3.73,   0.4,   0.5,    0.1 ,    0.25, 0.46 , 0.013, 0.029, 
I           , pi0   , C     , D         ,   1.0 ,   4.1 ,   3.2 ,   3.73,   0.4,   0.5,    0.25,    0.4 , 0.876, 0.021, 0.049, 
I           , pi0   , Fe    , D         ,   1.0 ,   4.1 ,   3.2 ,   3.73,   0.4,   0.5,    0.25,    0.4 , 0.634, 0.012, 0.035, 
I           , pi0   , Pb    , D         ,   1.0 ,   4.1 ,   3.2 ,   3.73,   0.4,   0.5,    0.25,    0.4 , 0.465, 0.014, 0.032, 
I           , pi0   , C     , D         ,   1.0 ,   4.1 ,   3.2 ,   3.73,   0.4,   0.5,    0.4 ,    0.55, 0.847, 0.028, 0.049, 
I           , pi0   , Fe    , D         ,   1.0 ,   4.1 ,   3.2 ,   3.73,   0.4,   0.5,    0.4 ,    0.55, 0.71 , 0.018, 0.038, 
I           , pi0   , Pb    , D         ,   1.0 ,   4.1 ,   3.2 ,   3.73,   0.4,   0.5,    0.4 ,    0.55, 0.563, 0.022, 0.039, 
I           , pi0   , C     , D         ,   1.0 ,   4.1 ,   3.2 ,   3.73,   0.4,   0.5,    0.55,    0.75, 0.996, 0.045, 0.059, 
I           , pi0   , Fe    , D         ,   1.0 ,   4.1 ,   3.2 ,   3.73,   0.4,   0.5,    0.55,    0.75, 0.85 , 0.029, 0.044, 
I           , pi0   , Pb    , D         ,   1.0 ,   4.1 ,   3.2 ,   3.73,   0.4,   0.5,    0.55,    0.75, 0.619, 0.034, 0.049, 
I           , pi0   , C     , D         ,   1.0 ,   4.1 ,   3.2 ,   3.73,   0.4,   0.5,    0.75,    1.5 , 1.374, 0.137, 0.081, 
I           , pi0   , Fe    , D         ,   1.0 ,   4.1 ,   3.2 ,   3.73,   0.4,   0.5,    0.75,    1.5 , 1.22 , 0.082, 0.09 , 
I           , pi0   , Pb    , D         ,   1.0 ,   4.1 ,   3.2 ,   3.73,   0.4,   0.5,    0.75,    1.5 , 1.012, 0.121, 0.123, 
I           , pi0   , C     , D         ,   1.0 ,   4.1 ,   3.73,   4.25,   0.4,   0.5,    0.0 ,    0.1 , 0.828, 0.041, 0.051, 
I           , pi0   , Fe    , D         ,   1.0 ,   4.1 ,   3.73,   4.25,   0.4,   0.5,    0.0 ,    0.1 , 0.552, 0.023, 0.036, 
I           , pi0   , Pb    , D         ,   1.0 ,   4.1 ,   3.73,   4.25,   0.4,   0.5,    0.0 ,    0.1 , 0.444, 0.027, 0.035, 
I           , pi0   , C     , D         ,   1.0 ,   4.1 ,   3.73,   4.25,   0.4,   0.5,    0.1 ,    0.25, 0.811, 0.023, 0.047, 
I           , pi0   , Fe    , D         ,   1.0 ,   4.1 ,   3.73,   4.25,   0.4,   0.5,    0.1 ,    0.25, 0.596, 0.014, 0.037, 
I           , pi0   , Pb    , D         ,   1.0 ,   4.1 ,   3.73,   4.25,   0.4,   0.5,    0.1 ,    0.25, 0.441, 0.015, 0.035, 
I           , pi0   , C     , D         ,   1.0 ,   4.1 ,   3.73,   4.25,   0.4,   0.5,    0.25,    0.4 , 0.856, 0.024, 0.048, 
I           , pi0   , Fe    , D         ,   1.0 ,   4.1 ,   3.73,   4.25,   0.4,   0.5,    0.25,    0.4 , 0.619, 0.014, 0.037, 
I           , pi0   , Pb    , D         ,   1.0 ,   4.1 ,   3.73,   4.25,   0.4,   0.5,    0.25,    0.4 , 0.486, 0.016, 0.04 , 
I           , pi0   , C     , D         ,   1.0 ,   4.1 ,   3.73,   4.25,   0.4,   0.5,    0.4 ,    0.55, 0.934, 0.032, 0.051, 
I           , pi0   , Fe    , D         ,   1.0 ,   4.1 ,   3.73,   4.25,   0.4,   0.5,    0.4 ,    0.55, 0.655, 0.018, 0.039, 
I           , pi0   , Pb    , D         ,   1.0 ,   4.1 ,   3.73,   4.25,   0.4,   0.5,    0.4 ,    0.55, 0.484, 0.021, 0.041, 
I           , pi0   , C     , D         ,   1.0 ,   4.1 ,   3.73,   4.25,   0.4,   0.5,    0.55,    0.75, 0.927, 0.037, 0.057, 
I           , pi0   , Fe    , D         ,   1.0 ,   4.1 ,   3.73,   4.25,   0.4,   0.5,    0.55,    0.75, 0.777, 0.024, 0.048, 
I           , pi0   , Pb    , D         ,   1.0 ,   4.1 ,   3.73,   4.25,   0.4,   0.5,    0.55,    0.75, 0.652, 0.031, 0.047, 
I           , pi0   , C     , D         ,   1.0 ,   4.1 ,   3.73,   4.25,   0.4,   0.5,    0.75,    1.5 , 1.316, 0.081, 0.068, 
I           , pi0   , Fe    , D         ,   1.0 ,   4.1 ,   3.73,   4.25,   0.4,   0.5,    0.75,    1.5 , 1.193, 0.052, 0.062, 
I           , pi0   , Pb    , D         ,   1.0 ,   4.1 ,   3.73,   4.25,   0.4,   0.5,    0.75,    1.5 , 0.981, 0.069, 0.059, 
I           , pi0   , C     , D         ,   1.0 ,   4.1 ,   2.2 ,   3.2 ,   0.5,   0.6,    0.0 ,    0.1 , 0.834, 0.026, 0.044, 
I           , pi0   , Fe    , D         ,   1.0 ,   4.1 ,   2.2 ,   3.2 ,   0.5,   0.6,    0.0 ,    0.1 , 0.593, 0.016, 0.033, 
I           , pi0   , Pb    , D         ,   1.0 ,   4.1 ,   2.2 ,   3.2 ,   0.5,   0.6,    0.0 ,    0.1 , 0.381, 0.017, 0.038, 
I           , pi0   , C     , D         ,   1.0 ,   4.1 ,   2.2 ,   3.2 ,   0.5,   0.6,    0.1 ,    0.25, 0.917, 0.024, 0.047, 
I           , pi0   , Fe    , D         ,   1.0 ,   4.1 ,   2.2 ,   3.2 ,   0.5,   0.6,    0.1 ,    0.25, 0.634, 0.014, 0.034, 
I           , pi0   , Pb    , D         ,   1.0 ,   4.1 ,   2.2 ,   3.2 ,   0.5,   0.6,    0.1 ,    0.25, 0.446, 0.015, 0.034, 
I           , pi0   , C     , D         ,   1.0 ,   4.1 ,   2.2 ,   3.2 ,   0.5,   0.6,    0.25,    0.4 , 0.922, 0.027, 0.047, 
I           , pi0   , Fe    , D         ,   1.0 ,   4.1 ,   2.2 ,   3.2 ,   0.5,   0.6,    0.25,    0.4 , 0.642, 0.016, 0.036, 
I           , pi0   , Pb    , D         ,   1.0 ,   4.1 ,   2.2 ,   3.2 ,   0.5,   0.6,    0.25,    0.4 , 0.442, 0.017, 0.033, 
I           , pi0   , C     , D         ,   1.0 ,   4.1 ,   2.2 ,   3.2 ,   0.5,   0.6,    0.4 ,    0.55, 0.909, 0.037, 0.047, 
I           , pi0   , Fe    , D         ,   1.0 ,   4.1 ,   2.2 ,   3.2 ,   0.5,   0.6,    0.4 ,    0.55, 0.698, 0.024, 0.037, 
I           , pi0   , Pb    , D         ,   1.0 ,   4.1 ,   2.2 ,   3.2 ,   0.5,   0.6,    0.4 ,    0.55, 0.503, 0.029, 0.034, 
I           , pi0   , C     , D         ,   1.0 ,   4.1 ,   2.2 ,   3.2 ,   0.5,   0.6,    0.55,    0.75, 0.949, 0.063, 0.05 , 
I           , pi0   , Fe    , D         ,   1.0 ,   4.1 ,   2.2 ,   3.2 ,   0.5,   0.6,    0.55,    0.75, 0.763, 0.037, 0.039, 
I           , pi0   , Pb    , D         ,   1.0 ,   4.1 ,   2.2 ,   3.2 ,   0.5,   0.6,    0.55,    0.75, 0.531, 0.048, 0.033, 
I           , pi0   , C     , D         ,   1.0 ,   4.1 ,   2.2 ,   3.2 ,   0.5,   0.6,    0.75,    1.5 , 1.493, 0.221, 0.079, 
I           , pi0   , Fe    , D         ,   1.0 ,   4.1 ,   2.2 ,   3.2 ,   0.5,   0.6,    0.75,    1.5 , 1.315, 0.123, 0.079, 
I           , pi0   , Pb    , D         ,   1.0 ,   4.1 ,   2.2 ,   3.2 ,   0.5,   0.6,    0.75,    1.5 , 1.074, 0.176, 0.085, 
I           , pi0   , C     , D         ,   1.0 ,   4.1 ,   3.2 ,   3.73,   0.5,   0.6,    0.0 ,    0.1 , 0.893, 0.038, 0.052, 
I           , pi0   , Fe    , D         ,   1.0 ,   4.1 ,   3.2 ,   3.73,   0.5,   0.6,    0.0 ,    0.1 , 0.595, 0.021, 0.033, 
I           , pi0   , Pb    , D         ,   1.0 ,   4.1 ,   3.2 ,   3.73,   0.5,   0.6,    0.0 ,    0.1 , 0.489, 0.026, 0.037, 
I           , pi0   , C     , D         ,   1.0 ,   4.1 ,   3.2 ,   3.73,   0.5,   0.6,    0.1 ,    0.25, 0.868, 0.026, 0.046, 
I           , pi0   , Fe    , D         ,   1.0 ,   4.1 ,   3.2 ,   3.73,   0.5,   0.6,    0.1 ,    0.25, 0.6  , 0.015, 0.033, 
I           , pi0   , Pb    , D         ,   1.0 ,   4.1 ,   3.2 ,   3.73,   0.5,   0.6,    0.1 ,    0.25, 0.416, 0.016, 0.029, 
I           , pi0   , C     , D         ,   1.0 ,   4.1 ,   3.2 ,   3.73,   0.5,   0.6,    0.25,    0.4 , 0.87 , 0.027, 0.046, 
I           , pi0   , Fe    , D         ,   1.0 ,   4.1 ,   3.2 ,   3.73,   0.5,   0.6,    0.25,    0.4 , 0.6  , 0.015, 0.033, 
I           , pi0   , Pb    , D         ,   1.0 ,   4.1 ,   3.2 ,   3.73,   0.5,   0.6,    0.25,    0.4 , 0.483, 0.019, 0.035, 
I           , pi0   , C     , D         ,   1.0 ,   4.1 ,   3.2 ,   3.73,   0.5,   0.6,    0.4 ,    0.55, 0.931, 0.036, 0.049, 
I           , pi0   , Fe    , D         ,   1.0 ,   4.1 ,   3.2 ,   3.73,   0.5,   0.6,    0.4 ,    0.55, 0.739, 0.022, 0.038, 
I           , pi0   , Pb    , D         ,   1.0 ,   4.1 ,   3.2 ,   3.73,   0.5,   0.6,    0.4 ,    0.55, 0.501, 0.024, 0.029, 
I           , pi0   , C     , D         ,   1.0 ,   4.1 ,   3.2 ,   3.73,   0.5,   0.6,    0.55,    0.75, 0.952, 0.044, 0.058, 
I           , pi0   , Fe    , D         ,   1.0 ,   4.1 ,   3.2 ,   3.73,   0.5,   0.6,    0.55,    0.75, 0.79 , 0.029, 0.041, 
I           , pi0   , Pb    , D         ,   1.0 ,   4.1 ,   3.2 ,   3.73,   0.5,   0.6,    0.55,    0.75, 0.526, 0.033, 0.038, 
I           , pi0   , C     , D         ,   1.0 ,   4.1 ,   3.2 ,   3.73,   0.5,   0.6,    0.75,    1.5 , 1.234, 0.083, 0.069, 
I           , pi0   , Fe    , D         ,   1.0 ,   4.1 ,   3.2 ,   3.73,   0.5,   0.6,    0.75,    1.5 , 1.148, 0.057, 0.055, 
I           , pi0   , Pb    , D         ,   1.0 ,   4.1 ,   3.2 ,   3.73,   0.5,   0.6,    0.75,    1.5 , 0.794, 0.068, 0.08 , 
I           , pi0   , C     , D         ,   1.0 ,   4.1 ,   3.73,   4.25,   0.5,   0.6,    0.0 ,    0.1 , 0.807, 0.065, 0.047, source_block_header_repeats_nu_2.2-3.2_reassigned_to_3.73-4.2_by_ordering
I           , pi0   , Fe    , D         ,   1.0 ,   4.1 ,   3.73,   4.25,   0.5,   0.6,    0.0 ,    0.1 , 0.584, 0.038, 0.033, source_block_header_repeats_nu_2.2-3.2_reassigned_to_3.73-4.2_by_ordering
I           , pi0   , Pb    , D         ,   1.0 ,   4.1 ,   3.73,   4.25,   0.5,   0.6,    0.0 ,    0.1 , 0.397, 0.041, 0.045, source_block_header_repeats_nu_2.2-3.2_reassigned_to_3.73-4.2_by_ordering
I           , pi0   , C     , D         ,   1.0 ,   4.1 ,   3.73,   4.25,   0.5,   0.6,    0.1 ,    0.25, 0.859, 0.034, 0.056, source_block_header_repeats_nu_2.2-3.2_reassigned_to_3.73-4.2_by_ordering
I           , pi0   , Fe    , D         ,   1.0 ,   4.1 ,   3.73,   4.25,   0.5,   0.6,    0.1 ,    0.25, 0.557, 0.018, 0.032, source_block_header_repeats_nu_2.2-3.2_reassigned_to_3.73-4.2_by_ordering
I           , pi0   , Pb    , D         ,   1.0 ,   4.1 ,   3.73,   4.25,   0.5,   0.6,    0.1 ,    0.25, 0.394, 0.021, 0.03 , source_block_header_repeats_nu_2.2-3.2_reassigned_to_3.73-4.2_by_ordering
I           , pi0   , C     , D         ,   1.0 ,   4.1 ,   3.73,   4.25,   0.5,   0.6,    0.25,    0.4 , 0.772, 0.03 , 0.046, source_block_header_repeats_nu_2.2-3.2_reassigned_to_3.73-4.2_by_ordering
