source_table,hadron,target,ref_target,Q2_min,Q2_max,nu_min,nu_max,z_min,z_max,pT2_min,pT2_max,value,stat,syst,flag
III,pi+,C,D,1.8,4.1,2.2,3.2,0.2,0.3,0.0,1.5,0.961,0.005,0.021,
III,pi+,Fe,D,1.8,4.1,2.2,3.2,0.2,0.3,0.0,1.5,0.783,0.004,0.018,
III,pi+,Pb,D,1.8,4.1,2.2,3.2,0.2,0.3,0.0,1.5,0.602,0.002,0.014,
III,pi+,C,D,1.8,4.1,2.2,3.2,0.3,0.4,0.0,1.5,0.903,0.006,0.02,
III,pi+,Fe,D,1.8,4.1,2.2,3.2,0.3,0.4,0.0,1.5,0.697,0.005,0.016,
III,pi+,Pb,D,1.8,4.1,2.2,3.2,0.3,0.4,0.0,1.5,0.509,0.002,0.012,
III,pi+,C,D,1.8,4.1,2.2,3.2,0.4,0.5,0.0,1.5,0.891,0.008,0.02,
III,pi+,Fe,D,1.8,4.1,2.2,3.2,0.4,0.5,0.0,1.5,0.66,0.006,0.015,
III,pi+,Pb,D,1.8,4.1,2.2,3.2,0.4,0.5,0.0,1.5,0.474,0.003,0.011,
III,pi+,C,D,1.8,4.1,2.2,3.2,0.5,0.6,0.0,1.5,0.877,0.009,0.019,
III,pi+,Fe,D,1.8,4.1,2.2,3.2,0.5,0.6,0.0,1.5,0.625,0.006,0.014,
III,pi+,Pb,D,1.8,4.1,2.2,3.2,0.5,0.6,0.0,1.5,0.452,0.003,0.011,
III,pi+,C,D,1.8,4.1,2.2,3.2,0.6,0.7,0.0,1.5,0.808,0.01,0.033,
III,pi+,Fe,D,1.8,4.1,2.2,3.2,0.6,0.7,0.0,1.5,,,,value_missing_in_source
III,pi+,Pb,D,1.8,4.1,2.2,3.2,0.6,0.7,0.0,1.5,,,,value_missing_in_source
III,pi+,C,D,1.8,4.1,2.2,3.2,0.7,0.8,0.0,1.5,0.756,0.009,0.031,
III,pi+,Fe,D,1.8,4.1,2.2,3.2,0.7,0.8,0.0,1.5,,,,value_missing_in_source
III,pi+,Pb,D,1.8,4.1,2.2,3.2,0.7,0.8,0.0,1.5,,,,value_missing_in_source
III,pi+,C,D,1.8,4.1,2.2,3.2,0.8,0.9,0.0,1.5,0.815,0.011,0.034,
III,pi+,Fe,D,1.8,4.1,2.2,3.2,0.8,0.9,0.0,1.5,,,,value_missing_in_source
III,pi+,Pb,D,1.8,4.1,2.2,3.2,0.8,0.9,0.0,1.5,,,,value_missing_in_source
III,pi+,C,D,1.8,4.1,2.2,3.2,0.9,1.0,0.0,1.5,0.812,0.011,0.033,
III,pi+,Fe,D,1.8,4.1,2.2,3.2,0.9,1.0,0.0,1.5,0.532,0.007,0.022,
III,pi+,Pb,D,1.8,4.1,2.2,3.2,0.9,1.0,0.0,1.5,0.346,0.003,0.015,
IV,pi+,C,D,1.0,1.3,3.2,3.7,0.05,0.1,0.0,1.5,1.111,0.008,0.027,
IV,pi+,Fe,D,1.0,1.3,3.2,3.7,0.05,0.1,0.0,1.5,1.132,0.008,0.049,
IV,pi+,Pb,D,1.0,1.3,3.2,3.7,0.05,0.1,0.0,1.5,0.919,0.004,0.04,
IV,pi+,C,D,1.0,1.3,3.2,3.7,0.1,0.2,0.0,1.5,0.963,0.004,0.023,
IV,pi+,Fe,D,1.0,1.3,3.2,3.7,0.1,0.2,0.0,1.5,0.896,0.003,0.039,
IV,pi+,Pb,D,1.0,1.3,3.2,3.7,0.1,0.2,0.0,1.5,0.703,0.002,0.03,
IV,pi+,C,D,1.0,1.3,3.2,3.7,0.2,0.3,0.0,1.5,0.886,0.005,0.021,
IV,pi+,Fe,D,1.0,1.3,3.2,3.7,0.2,0.3,0.0,1.5,0.747,0.004,0.032,
IV,pi+,Pb,D,1.0,1.3,3.2,3.7,0.2,0.3,0.0,1.5,0.559,0.002,0.024,
IV,pi+,C,D,1.0,1.3,3.2,3.7,0.3,0.4,0.0,1.5,0.836,0.006,0.02,
IV,pi+,Fe,D,1.0,1.3,3.2,3.7,0.3,0.4,0.0,1.5,0.67,0.005,0.029,
IV,pi+,Pb,D,1.0,1.3,3.2,3.7,0.3,0.4,0.0,1.5,0.493,0.002,0.021,
IV,pi+,C,D,1.0,1.3,3.2,3.7,0.4,0.5,0.0,1.5,0.83,0.008,0.02,
IV,pi+,Fe,D,1.0,1.3,3.2,3.7,0.4,0.5,0.0,1.5,0.633,0.006,0.028,
IV,pi+,Pb,D,1.0,1.3,3.2,3.7,0.4,0.5,0.0,1.5,0.462,0.003,0.02,
IV,pi+,C,D,1.0,1.3,3.2,3.7,0.5,0.6,0.0,1.5,0.837,0.01,0.02,
IV,pi+,Fe,D,1.0,1.3,3.2,3.7,0.5,0.6,0.0,1.5,0.621,0.007,0.027,
IV,pi+,Pb,D,1.0,1.3,3.2,3.7,0.5,0.6,0.0,1.5,0.445,0.003,0.019,
IV,pi+,C,D,1.0,1.3,3.2,3.7,0.6,0.7,0.0,1.5,0.821,0.012,0.035,
IV,pi+,Fe,D,1.0,1.3,3.2,3.7,0.6,0.7,0.0,1.5,0.596,0.008,0.033,
IV,pi+,Pb,D,1.0,1.3,3.2,3.7,0.6,0.7,0.0,1.5,0.434,0.004,0.024,
IV,pi+,C,D,1.0,1.3,3.2,3.7,0.7,0.8,0.0,1.5,0.781,0.014,0.033,
IV,pi+,Fe,D,1.0,1.3,3.2,3.7,0.7,0.8,0.0,1.5,0.551,0.009,0.031,
IV,pi+,Pb,D,1.0,1.3,3.2,3.7,0.7,0.8,0.0,1.5,0.415,0.005,0.023,
IV,pi+,C,D,1.0,1.3,3.2,3.7,0.8,0.9,0.0,1.5,0.702,0.016,0.03,
IV,pi+,Fe,D,1.0,1.3,3.2,3.7,0.8,0.9,0.0,1.5,0.463,0.011,0.026,
IV,pi+,Pb,D,1.0,1.3,3.2,3.7,0.8,0.9,0.0,1.5,0.34,0.005,0.019,
IV,pi+,C,D,1.0,1.3,3.2,3.7,0.9,1.0,0.0,1.5,0.698,0.015,0.03,
IV,pi+,Fe,D,1.0,1.3,3.2,3.7,0.9,1.0,0.0,1.5,0.461,0.011,0.026,
IV,pi+,Pb,D,1.0,1.3,3.2,3.7,0.9,1.0,0.0,1.5,0.337,0.005,0.019,
IV,pi+,C,D,1.3,1.8,3.2,3.7,0.05,0.1,0.0,1.5,1.156,0.008,0.026,
IV,pi+,Fe,D,1.3,1.8,3.2,3.7,0.05,0.1,0.0,1.5,1.19,0.008,0.049,
IV,pi+,Pb,D,1.3,1.8,3.2,3.7,0.05,0.1,0.0,1.5,0.978,0.004,0.041,
IV,pi+,C,D,1.3,1.8,3.2,3.7,0.1,0.2,0.0,1.5,0.994,0.004,0.022,
IV,pi+,Fe,D,1.3,1.8,3.2,3.7,0.1,0.2,0.0,1.5,0.922,0.003,0.038,
IV,pi+,Pb,D,1.3,1.8,3.2,3.7,0.1,0.2,0.0,1.5,0.736,0.002,0.031,
IV,pi+,C,D,1.3,1.8,3.2,3.7,0.2,0.3,0.0,1.5,0.907,0.005,0.02,
IV,pi+,Fe,D,1.3,1.8,3.2,3.7,0.2,0.3,0.0,1.5,0.768,0.004,0.032,
IV,pi+,Pb,D,1.3,1.8,3.2,3.7,0.2,0.3,0.0,1.5,0.587,0.002,0.025,
IV,pi+,C,D,1.3,1.8,3.2,3.7,0.3,0.4,0.0,1.5,0.851,0.006,0.019,
IV,pi+,Fe,D,1.3,1.8,3.2,3.7,0.3,0.4,0.0,1.5,0.68,0.004,0.028,
IV,pi+,Pb,D,1.3,1.8,3.2,3.7,0.3,0.4,0.0,1.5,0.509,0.002,0.021,
IV,pi+,C,D,1.3,1.8,3.2,3.7,0.4,0.5,0.0,1.5,0.832,0.007,0.019,
IV,pi+,Fe,D,1.3,1.8,3.2,3.7,0.4,0.5,0.0,1.5,0.66,0.006,0.027,
IV,pi+,Pb,D,1.3,1.8,3.2,3.7,0.4,0.5,0.0,1.5,0.468,0.002,0.02,
IV,pi+,C,D,1.3,1.8,3.2,3.7,0.5,0.6,0.0,1.5,0.839,0.009,0.019,
IV,pi+,Fe,D,1.3,1.8,3.2,3.7,0.5,0.6,0.0,1.5,0.641,0.007,0.027,
IV,pi+,Pb,D,1.3,1.8,3.2,3.7,0.5,0.6,0.0,1.5,0.466,0.003,0.02,
IV,pi+,C,D,1.3,1.8,3.2,3.7,0.6,0.7,0.0,1.5,0.824,0.011,0.034,
IV,pi+,Fe,D,1.3,1.8,3.2,3.7,0.6,0.7,0.0,1.5,0.622,0.008,0.034,
IV,pi+,Pb,D,1.3,1.8,3.2,3.7,0.6,0.7,0.0,1.5,0.446,0.004,0.024,
IV,pi+,C,D,1.3,1.8,3.2,3.7,0.7,0.8,0.0,1.5,0.768,0.012,0.032,
IV,pi+,Fe,D,1.3,1.8,3.2,3.7,0.7,0.8,0.0,1.5,0.581,0.009,0.031,
IV,pi+,Pb,D,1.3,1.8,3.2,3.7,0.7,0.8,0.0,1.5,0.43,0.004,0.024,
IV,pi+,C,D,1.3,1.8,3.2,3.7,0.8,0.9,0.0,1.5,0.738,0.016,0.031,
